Time,Horizon,Vectical
0.01,13.099999,9.940002
0.01,-11.309999,12.08
0.01,-36.229997,11.730002
0.01,-60.63,9.169999
0.01,37.189998,6.12
0.01,12.889999,9.9
0.01,-11.52,12.069999
0.01,-36.440003,11.740001
0.01,-60.839998,9.200001
0.01,36.979999,6.1
0.01,12.68,9.87
0.01,-11.72,12.08
0.01,-36.649996,11.739999
0.01,-61.039996,9.22
0.01,36.76,6.05
0.01,12.47,9.82
0.01,-11.929998,12.06
0.01,-36.849999,11.749999
0.01,-61.269995,9.24
0.01,36.550002,6.02
0.01,12.26,9.790002
0.01,-12.14,12.030001
0.01,-37.059999,11.76
0.01,-61.460002,9.26
0.01,36.329998,5.969999
0.01,12.069999,9.76
0.01,-12.339999,12.019999
0.01,-37.27,11.750001
0.01,-61.669995,9.290001
0.01,36.12,5.91
0.01,11.86,9.69
0.01,-12.55,11.989998
0.01,-37.47,11.740001
0.01,-61.879998,9.3
0.01,36.099999,5.81
0.01,11.850001,9.580001
0.01,-12.55,11.869999
0.01,-37.460002,11.62
0.01,-61.859997,9.220001
0.01,36.31,5.810001
0.01,12.050002,9.56
0.01,-12.350001,11.799998
0.01,-37.250001,11.56
0.01,-61.649999,9.159999
0.01,36.52,5.819999
0.01,12.24,9.549998
0.01,-12.14,11.78
0.01,-37.040001,11.52
0.01,-61.429995,9.109999
0.01,36.729999,5.83
0.01,12.47,9.540001
0.01,-11.929998,11.749999
0.01,-36.83,11.489999
0.01,-61.219997,9.069999
0.01,36.939999,5.839999
0.01,12.65,9.53
0.01,-11.729999,11.699999
0.01,-36.619997,11.429999
0.01,-61.010004,9.019999
0.01,37.15,5.83
0.01,12.859999,9.530001
0.01,-11.52,11.670001
0.01,-36.409996,11.389999
0.01,-60.789995,8.969999
0.01,37.360001,5.86
0.01,13.07,9.52
0.01,-11.31,11.64
0.01,-36.2,11.369999
0.01,-60.579992,8.929999
0.01,37.570001,5.87
0.01,13.280001,9.54
0.01,-11.11,11.639999
0.01,-35.989997,11.33
0.01,-60.369998,8.899999
0.01,37.78,5.88
0.01,13.490001,9.55
0.01,-10.9,11.609999
0.01,-35.780001,11.3
0.01,-60.16,8.850001
0.01,37.99,5.889999
0.01,13.69,9.54
0.01,-10.689999,11.58
0.01,-35.570001,11.260001
0.01,-59.939996,8.800001
0.01,38.18,5.919999
0.01,13.9,9.559999
0.01,-10.49,11.569999
0.01,-35.37,11.24
0.01,-59.729998,8.769999
0.01,38.39,5.930001
0.01,14.11,9.55
0.01,-10.279999,11.529998
0.01,-35.16,11.199998
0.01,-59.519995,8.719999
0.01,38.599999,5.939999
0.01,14.319997,9.549998
0.01,-10.069999,11.499999
0.01,-34.949999,11.160001
0.01,-59.310002,8.68
0.01,38.809995,5.969999
0.01,14.529999,9.580001
0.01,-9.87,11.51
0.01,-34.740001,11.129999
0.01,-59.100003,8.65
0.01,39.02,5.989999
0.01,14.729999,9.589999
0.01,-9.66,11.48
0.01,-34.53,11.11
0.01,-58.88,8.61
0.01,39.230001,6
0.01,14.939999,9.589999
0.01,-9.429999,11.46
0.01,-34.319997,11.069998
0.01,-58.649995,8.56
0.01,39.439999,6.02
0.01,15.149998,9.6
0.01,-9.25,11.45
0.01,-34.109999,11.05
0.01,-58.459998,8.529999
0.01,39.65,6.03
0.01,15.359999,9.6
0.01,-9.039999,11.42
0.01,-33.899998,11.009999
0.01,-58.25,8.480001
0.01,39.86,6.05
0.01,15.57,9.609999
0.01,-8.830001,11.42
0.01,-33.689997,10.98
0.01,-58.020001,8.449999
0.01,40.069999,6.07
0.01,15.77,9.63
0.01,-8.629999,11.389999
0.01,-33.479999,10.94
0.01,-57.799997,8.41
0.01,40.269999,6.090001
0.01,15.979999,9.64
0.01,-8.419999,11.379999
0.01,-33.280001,10.940001
0.01,-57.590003,8.369999
0.01,40.479997,6.109999
0.01,16.19,9.64
0.01,-8.21,11.360001
0.01,-33.070001,10.900001
0.01,-57.38,8.34
0.01,40.689998,6.129999
0.01,16.379999,9.65
0.01,-8.01,11.349999
0.01,-32.859995,10.880001
0.01,-57.169997,8.3
0.01,40.899998,6.150001
0.01,16.59,9.68
0.01,-7.799999,11.33
0.01,-32.670003,10.84
0.01,-56.98,8.259999
0.01,41.110002,6.17
0.01,16.82,9.679999
0.01,-7.590001,11.32
0.01,-32.460002,10.82
0.01,-56.760001,8.220001
0.01,41.32,6.200001
0.01,17,9.679999
0.01,-7.39,11.3
0.01,-32.229996,10.789999
0.01,-56.529997,8.19
0.01,41.529993,6.21
0.01,17.229998,9.7
0.01,-7.16,11.269999
0.01,-32.020002,10.75
0.01,-56.319999,8.150001
0.01,41.739996,6.24
0.01,17.42,9.73
0.01,-6.97,11.26
0.01,-31.820004,10.75
0.01,-56.11,8.12
0.01,41.949999,6.27
0.01,17.630001,9.730001
0.01,-6.769999,11.259999
0.01,-31.609999,10.71
0.01,-55.899997,8.08
0.01,42.140001,6.28
0.01,17.840001,9.739999
0.01,-6.559999,11.25
0.01,-31.419997,10.689999
0.01,-55.689999,8.05
0.01,42.370001,6.31
0.01,18.049999,9.76
0.01,-6.35,11.23
0.01,-31.189998,10.669999
0.01,-55.480001,8.01
0.01,42.570003,6.34
0.01,18.250001,9.770001
0.01,-6.15,11.230002
0.01,-30.979997,10.65
0.01,-55.260002,7.97
0.01,42.779997,6.35
0.01,18.46,9.79
0.01,-5.939999,11.199996
0.01,-30.789997,10.61
0.01,-55.049999,7.929999
0.01,42.99,6.38
0.01,18.669997,9.81
0.01,-5.729999,11.199998
0.01,-30.579999,10.590001
0.01,-54.84,7.900001
0.01,43.199998,6.400001
0.01,18.88,9.82
0.01,-5.53,11.19
0.01,-30.359995,10.57
0.01,-54.629997,7.87
0.01,43.409996,6.43
0.01,19.09,9.82
0.01,-5.32,11.17
0.01,-30.15,10.549999
0.01,-54.419994,7.829999
0.01,43.62,6.460001
0.01,19.300001,9.86
0.01,-5.11,11.159998
0.01,-29.939999,10.53
0.01,-54.210001,7.799999
0.01,43.829998,6.48
0.01,19.51,9.87
0.01,-4.9,11.16
0.01,-29.730001,10.51
0.01,-54.000003,7.76
0.01,44.019995,6.5
0.01,19.689999,9.89
0.01,-4.699999,11.16
0.01,-29.540001,10.47
0.01,-53.779999,7.730001
0.01,44.229998,6.53
0.01,19.900001,9.89
0.01,-4.49,11.13
0.01,-29.33,10.45
0.01,-53.570001,7.699999
0.01,44.450002,6.56
0.01,20.109999,9.93
0.01,-4.28,11.129999
0.01,-29.110004,10.43
0.01,-53.359997,7.66
0.01,44.66,6.59
0.01,20.319999,9.940001
0.01,-4.08,11.129999
0.01,-28.920002,10.41
0.01,-53.149999,7.63
0.01,44.869998,6.6
0.01,20.549998,9.96
0.01,-3.87,11.099998
0.01,-28.689998,10.389999
0.01,-52.92,7.59
0.01,45.080001,6.629999
0.01,20.74,9.96
0.01,-3.66,11.1
0.01,-28.499998,10.37
0.01,-52.730003,7.559999
0.01,45.29,6.66
0.01,20.950001,10
0.01,-3.46,11.1
0.01,-28.29,10.349999
0.01,-52.52,7.53
0.01,45.500003,6.68
0.01,21.150001,10.019999
0.01,-3.25,11.099998
0.01,-28.079999,10.329999
0.01,-52.29,7.499999
0.01,45.710001,6.709999
0.01,21.360001,10.02
0.01,-3.04,11.07
0.01,-27.870001,10.29
0.01,-52.069996,7.46
0.01,45.919999,6.74
0.01,21.57,10.03
0.01,-2.84,11.07
0.01,-27.669999,10.27
0.01,-51.860003,7.429999
0.01,46.129998,6.76
0.01,21.78,10.049999
0.01,-2.63,11.049999
0.01,-27.439999,10.250001
0.01,-51.65,7.379999
0.01,46.319999,6.78
0.01,21.989999,10.07
0.01,-2.42,11.09
0.01,-27.25,10.239999
0.01,-51.439997,7.359999
0.01,46.539998,6.809999
0.01,22.200002,10.089999
0.01,-2.22,11.049998
0.01,-27.039999,10.219999
0.01,-51.249995,7.339999
0.01,46.750006,6.84
0.01,22.399999,10.13
0.01,-2.01,11.04
0.01,-26.830001,10.199999
0.01,-51.02,7.299999
0.01,46.980001,6.88
0.01,22.609998,10.149999
0.01,-1.78,11.04
0.01,-26.630003,10.18
0.01,-50.809997,7.269999
0.01,47.169998,6.89
0.01,22.820001,10.149999
0.01,-1.6,11.019998
0.01,-26.42,10.199999
0.01,-50.589993,7.24
0.01,47.380001,6.939999
0.01,23.030001,10.19
0.01,-1.39,11.04
0.01,-26.190003,10.14
0.01,-50.38,7.199999
0.01,47.589999,6.96
0.01,23.220001,10.199999
0.01,-1.18,11.02
0.01,-25.98,10.13
0.01,-50.170002,7.17
0.01,47.799998,6.989999
0.01,23.45,10.209999
0.01,-0.98,11.020001
0.01,-25.789998,10.129999
